"","Country","Found Occurrences"
"1","France","36"
"2","United Kingdom","20"
"3","Germany","19"
"4","Netherlands","17"
"5","Unknown","14"
"6","Australia","13"
"7","Singapore","13"
"8","United Arab Emirates","12"
"9","Hong Kong","10"
"10","Switzerland","10"
"11","Belgium"," 8"
"12","Malaysia"," 8"
"13","South Africa"," 7"
"14","Canada"," 5"
"15","China"," 5"
"16","India"," 5"
"17","Portugal"," 5"
"18","Indonesia"," 4"
"19","Japan"," 4"
"20","Poland"," 4"
"21","Spain"," 4"
"22","Sweden"," 4"
"23","Brazil"," 3"
"24","Denmark"," 3"
"25","Greater New York City Area"," 3"
"26","Ireland"," 3"
"27","Italy"," 3"
"28","Luxembourg"," 3"
"29","Norway"," 3"
"30","Other"," 3"
"31","San Francisco Bay Area"," 3"
"32","Saudi Arabia"," 3"
"33","Thailand"," 3"
"34","Canada Area"," 2"
"35","Chile"," 2"
"36","Finland"," 2"
"37","Israel"," 2"
"38","Korea"," 2"
"39","Nigeria"," 2"
"40","North Carolina Area"," 2"
"41","Taiwan"," 2"
"42","Texas Area"," 2"
"43","Algeria"," 1"
"44","Angola"," 1"
"45","Argentina"," 1"
"46","California"," 1"
"47","Colombia"," 1"
"48","Colorado Area"," 1"
"49","Croatia"," 1"
"50","Greater Minneapolis-St. Paul Area"," 1"
"51","Greater Seattle Area"," 1"
"52","Greece"," 1"
"53","Hawaii"," 1"
"54","Hungary area"," 1"
"55","Jordan"," 1"
"56","Kansas"," 1"
"57","Kenya"," 1"
"58","Kuwait"," 1"
"59","Massachusetts"," 1"
"60","Miami/Fort Lauderdale Area"," 1"
"61","Minnesota"," 1"
"62","Morocco"," 1"
"63","Nebraska"," 1"
"64","New Jersey"," 1"
"65","New Zealand"," 1"
"66","Ohio"," 1"
"67","Oregon"," 1"
"68","Peru"," 1"
"69","Philippines"," 1"
"70","Romania"," 1"
"71","Sultanate of Oman"," 1"
"72","Texas"," 1"
"73","Togo"," 1"
"74","Turkey"," 1"
